SYSCALL / INT2E / SYSENTER COMPLETE MAP
======================================================================
Full raw byte scan of vgk.sys
Image Base : 0x140000000

── SYSCALL (0F 05) ── Total: 74
------------------------------------------------------------
  [  0]  RVA=0x000006A0  VA=0x00000001400006A0
  [  1]  RVA=0x00016096  VA=0x0000000140016096
  [  2]  RVA=0x00020FF3  VA=0x0000000140020FF3
  [  3]  RVA=0x0002608D  VA=0x000000014002608D
  [  4]  RVA=0x000277AF  VA=0x00000001400277AF
  [  5]  RVA=0x000428AD  VA=0x00000001400428AD
  [  6]  RVA=0x0004C811  VA=0x000000014004C811
  [  7]  RVA=0x0004D0DF  VA=0x000000014004D0DF
  [  8]  RVA=0x000CACA5  VA=0x00000001400CACA5
  [  9]  RVA=0x000F5915  VA=0x00000001400F5915
  [ 10]  RVA=0x000F591D  VA=0x00000001400F591D
  [ 11]  RVA=0x0011778E  VA=0x000000014011778E
  [ 12]  RVA=0x00174FB7  VA=0x0000000140174FB7
  [ 13]  RVA=0x001A33A5  VA=0x00000001401A33A5
  [ 14]  RVA=0x001A33AD  VA=0x00000001401A33AD
  [ 15]  RVA=0x001E4A83  VA=0x00000001401E4A83
  [ 16]  RVA=0x001EB3C7  VA=0x00000001401EB3C7
  [ 17]  RVA=0x002045E6  VA=0x00000001402045E6
  [ 18]  RVA=0x00220378  VA=0x0000000140220378
  [ 19]  RVA=0x00283E30  VA=0x0000000140283E30
  [ 20]  RVA=0x003065E0  VA=0x00000001403065E0
  [ 21]  RVA=0x005B2183  VA=0x00000001405B2183
  [ 22]  RVA=0x007B3A6C  VA=0x00000001407B3A6C
  [ 23]  RVA=0x0082C142  VA=0x000000014082C142
  [ 24]  RVA=0x00A5DC76  VA=0x0000000140A5DC76
  [ 25]  RVA=0x00A973CA  VA=0x0000000140A973CA
  [ 26]  RVA=0x00A99C3D  VA=0x0000000140A99C3D
  [ 27]  RVA=0x00B622F0  VA=0x0000000140B622F0
  [ 28]  RVA=0x00C1E030  VA=0x0000000140C1E030
  [ 29]  RVA=0x00E689BF  VA=0x0000000140E689BF
  [ 30]  RVA=0x00F91502  VA=0x0000000140F91502
  [ 31]  RVA=0x00F9154D  VA=0x0000000140F9154D
  [ 32]  RVA=0x00F915AF  VA=0x0000000140F915AF
  [ 33]  RVA=0x00F91609  VA=0x0000000140F91609
  [ 34]  RVA=0x00FD9D02  VA=0x0000000140FD9D02
  [ 35]  RVA=0x00FDAA30  VA=0x0000000140FDAA30
  [ 36]  RVA=0x0103D204  VA=0x000000014103D204
  [ 37]  RVA=0x01167EE1  VA=0x0000000141167EE1
  [ 38]  RVA=0x0119A4E8  VA=0x000000014119A4E8
  [ 39]  RVA=0x01299893  VA=0x0000000141299893
  [ 40]  RVA=0x013D78CB  VA=0x00000001413D78CB
  [ 41]  RVA=0x013F732A  VA=0x00000001413F732A
  [ 42]  RVA=0x0142AD45  VA=0x000000014142AD45
  [ 43]  RVA=0x0145CDC8  VA=0x000000014145CDC8
  [ 44]  RVA=0x0152E3A9  VA=0x000000014152E3A9
  [ 45]  RVA=0x015A3068  VA=0x00000001415A3068
  [ 46]  RVA=0x017317BB  VA=0x00000001417317BB
  [ 47]  RVA=0x0178660B  VA=0x000000014178660B
  [ 48]  RVA=0x01889C8C  VA=0x0000000141889C8C
  [ 49]  RVA=0x019A0B4D  VA=0x00000001419A0B4D
  [ 50]  RVA=0x01A3D020  VA=0x0000000141A3D020
  [ 51]  RVA=0x01A61A41  VA=0x0000000141A61A41
  [ 52]  RVA=0x01B0F700  VA=0x0000000141B0F700
  [ 53]  RVA=0x01B5C431  VA=0x0000000141B5C431
  [ 54]  RVA=0x01E72BF3  VA=0x0000000141E72BF3
  [ 55]  RVA=0x01E7E998  VA=0x0000000141E7E998
  [ 56]  RVA=0x01EA5A4F  VA=0x0000000141EA5A4F
  [ 57]  RVA=0x01F450AD  VA=0x0000000141F450AD
  [ 58]  RVA=0x01FAD4C2  VA=0x0000000141FAD4C2
  [ 59]  RVA=0x020F1891  VA=0x00000001420F1891
  [ 60]  RVA=0x02192A9D  VA=0x0000000142192A9D
  [ 61]  RVA=0x0235F4A5  VA=0x000000014235F4A5
  [ 62]  RVA=0x023E4FD6  VA=0x00000001423E4FD6
  [ 63]  RVA=0x02447D01  VA=0x0000000142447D01
  [ 64]  RVA=0x024D8E00  VA=0x00000001424D8E00
  [ 65]  RVA=0x02688762  VA=0x0000000142688762
  [ 66]  RVA=0x02692C50  VA=0x0000000142692C50
  [ 67]  RVA=0x0279CEF8  VA=0x000000014279CEF8
  [ 68]  RVA=0x0288048E  VA=0x000000014288048E
  [ 69]  RVA=0x02932468  VA=0x0000000142932468
  [ 70]  RVA=0x02935741  VA=0x0000000142935741
  [ 71]  RVA=0x0295CF2B  VA=0x000000014295CF2B
  [ 72]  RVA=0x0296DD44  VA=0x000000014296DD44
  [ 73]  RVA=0x02974DB0  VA=0x0000000142974DB0

── INT 2E (CD 2E) ── Total: 82
------------------------------------------------------------
  [  0]  RVA=0x0000389B  VA=0x000000014000389B
  [  1]  RVA=0x00016E21  VA=0x0000000140016E21
  [  2]  RVA=0x00021324  VA=0x0000000140021324
  [  3]  RVA=0x0002C97F  VA=0x000000014002C97F
  [  4]  RVA=0x000AAEEE  VA=0x00000001400AAEEE
  [  5]  RVA=0x001D777F  VA=0x00000001401D777F
  [  6]  RVA=0x001E3D1A  VA=0x00000001401E3D1A
  [  7]  RVA=0x00256CF3  VA=0x0000000140256CF3
  [  8]  RVA=0x0026D7AE  VA=0x000000014026D7AE
  [  9]  RVA=0x0031B149  VA=0x000000014031B149
  [ 10]  RVA=0x004F3E4C  VA=0x00000001404F3E4C
  [ 11]  RVA=0x005AA898  VA=0x00000001405AA898
  [ 12]  RVA=0x00600682  VA=0x0000000140600682
  [ 13]  RVA=0x00806591  VA=0x0000000140806591
  [ 14]  RVA=0x00849E24  VA=0x0000000140849E24
  [ 15]  RVA=0x008ABB32  VA=0x00000001408ABB32
  [ 16]  RVA=0x008F2349  VA=0x00000001408F2349
  [ 17]  RVA=0x00924112  VA=0x0000000140924112
  [ 18]  RVA=0x009831F2  VA=0x00000001409831F2
  [ 19]  RVA=0x00A18FEA  VA=0x0000000140A18FEA
  [ 20]  RVA=0x00B757E3  VA=0x0000000140B757E3
  [ 21]  RVA=0x00C482E0  VA=0x0000000140C482E0
  [ 22]  RVA=0x00C952E9  VA=0x0000000140C952E9
